business_id,compliment_count,qtde
--1UhMGODdWsrMastO9DZw,0,3
--6MefnULPED_I942VcFNA,0,15
--7zmmkVg-IMGaXbuVd0SQ,0,11
--9QQLMTbFzLJ_oT-ON3Xw,0,3
--9e1ONYQuAa-CB_Rrw7Tw,3,176
--DaPTJW3-tB1vP-PfdTEg,0,4
--DdmeR16TRb3LsjG0ejrQ,1,4
--EX4rRznJrltyn-34Jz1w,0,2
--FBCX-N37CMYDfs790Bnw,1,44
--FnvijzY20d1nk9H7fk9w,0,1
--GM_ORV2cYS-h38DSaCLw,0,2
--I7YYLada0tSLkORTHb5Q,0,9
--KCl2FvVQpvjzmZSPyviA,0,5
--KQsXc-clkO7oHRqGzSzg,0,15
--Ni3oJ4VOqfOEu7Sj2Vzg,0,1
--Rsj71PBe31h5YljVseKA,0,5
--S62v0QgkqQaVUhFnNHrw,0,9
--SrzpvFLwP_YFwB_Cetow,0,9
--TcDRzRIxhvHM4DSgEuMA,0,1
--U98MNlDym2cLn36BBPgQ,0,1
--WsruI0IGEoeRmkErU5Gg,0,1
--ab39IjZR_xUf81WyTyHg,0,4
--cZ6Hhc9F7VkKXxHMVZSQ,4,86
--cjBEbXMI2obtaRHNSFrA,0,5
--e8PjCNhEz32pprnPhCwQ,0,4
--g-a85VwrdZJNf0R95GcQ,0,11
--i1tTcggBi4cPkd-h5hDg,0,1
--o5BoU7qYMALeVDK6mwVg,0,1
--phjqoPSPa8sLmUVNby9w,0,3
--q6datkI-f0EoVheXNEeQ,0,2
--q7kSBRb0vWC8lSkXFByA,0,16
--qvQS4MigHPykD2GV0-zw,0,5
--ttCFj_csKJhxnaMRNuiw,0,4
--ujyvoQlwVoBgMYtADiLA,0,11
--z7PM8AGaJP0aBmGMY7RA,0,3
-01XupAWZEXbdNbxNg5mEg,1,26
-050d_XIor1NpCuWkbIVaQ,1,193
-05uZNVbb8DhFweTEOoDVg,0,2
-06-Fdi30wJx-JA8P7CAng,0,6
-092wE7j5HZOogMLAh40zA,0,27
-0CCHBui57tZ_1y_14X-5Q,0,1
-0CTrPQNiSyClxhdO4HSDQ,0,5
-0DET7VdEQOJVJ_v6klEug,0,27
-0DwB6Swi349EKfbBAOF7A,0,11
-0FA-Qdi3SPYIoJz9UQw-A,0,1
-0Fendn2TmhDJ-1s6gPi5g,0,4
-0GU6ghA7z4-xotUZfXl1w,0,3
-0Hj1hb_XW6ybWq2M7QhGA,0,1
-0K4W5p3wbQe_vDoB5jMgQ,0,1
-0KSt9tXv6C015vmAcSIcg,0,1
-0KqNhmK40DTzwUPM_Ik9g,0,5
-0NrB58jqKqJfuUCDupcsw,0,4
-0QtTRrAMn6DKLZNef3Ojg,0,1
-0RU0vASJOV383dYA8VZgA,0,2
-0RkJ_uIduNLWQrphbADRw,0,14
-0Sgh0QlUKVsWosCWJzGqQ,0,2
-0T0jfPnuBRdpNTXpOQZcA,0,4
-0VImVWDeqewaA3th8fzIg,0,2
-0WegMt6Cy966qlDKhu6jA,0,15
-0XFoI1UKfuRKwyAl85zAQ,0,2
-0YY5yQ3ufLB6EoPBsHGig,0,2
-0ZO00Vm2ADchytlEkoXmg,0,7
-0aIra_B6iALlfqAriBSYA,0,6
-0aOudcaAyac0VJbMX-L1g,0,5
-0dWjxaPKrXAn8urSnkSLA,0,10
-0gEYa7iHAshDcMvJ0Vuag,0,1
-0jz6c3C6i7RG7Ag22K-Pg,0,1
-0lbeUxS9QDBtIS5KtPKZw,0,1
-0mgn9dRi95otXd_h61LdA,0,3
-0mm8pqBSIOYZQHeo8XnkA,0,7
-0qht1roIqleKiQkBLDkbw,1,78
-0qqsy04kcYdXH3DOciaZw,0,8
-0t6o9LXMVQ3aV8CHhRTnA,1,19
-0tgMGl7D9B10YjSN2ujLA,1,76
-0uEqc2vw1xXtuI_r1xTNg,0,2
-113IAvSQ4Nn_Jk7OrrPkg,0,1
-11PbySWhJQtK6USx4IP2A,0,11
-17RjDnOY9c7IsCcYUjx5Q,0,2
